old_commit,new_commit,subject
17e79a1f1ad078ce02013f557b19face6d1e73ee,c4a355efad4037460b956964813dfc26ece6c693,point the feature jobs at a tag that has the script
f43451c6c4a411129b1d29563e9cde0045eba701,385110940dc2e4f5041f11ef3d54deca1f6cc73e,"use the loader argument that exists, and check it exists"
7c03635a7fc32849071d48a90b9bdcb8cc4ecd43,6e9a503b95c97d5bdc9fa14384c4c139912217f3,repin the feature jobs to the tag with the loader fix
194471d4b960fb2f6d6cc542d234ae3c5cb5d18d,6250b403a1e7e8f943199ea15487492704e31f23,"size the feature job for the loader, not the model"
bfef3c00ed168532188d1b171911bd8846d7275d,962d4b5072ee029cff2f52a70fcc6c7fefbc3032,repin the feature jobs to the tag with the memory fix
d3733d818dab6d360e0e2d0a5bcfb27d2ec1e656,46b74ce3598be78d9f5cb6b5d97034668b18c000,record the frozen probe result and the rates the specs actually use
e7974476ce04193a91181775fa2dd7807a5586fa,c8534a188ae291c95824fe17d898b51749ecb9ec,fix lrs
2698692a26c62e31016c5259d71779811a7e1909,e78d477313c0cb894d6caf5d469077dc19ecd89c,add new probe
a6e030a10512fda8953c72963f1e527eed39726e,fc6d2c5c3bea2cbe8ef7a077ba7a57a47d2bfdd1,add frozen-feature jobs for the finished runs and a mass-target config
a0cbcf562a716d20a88a228a4660eb5a314e8b95,eaa553d748cfc1a17beaaa773f50a9206655b333,optionally keep the head output during feature extraction
c5e7417bcd7940920a9954acd21c383d4b3617a5,f36a1c20e1efd3c40db06bdb9e10f9df6848ea12,score arms per seed and add the mass control analysis
4b1e8c4fca216a02c0d5c3e9a7b9f6dbc70c45ea,e7d9acfe6755eafb3b30bb708d309c3d19528794,keep the scorer inside its memory budget on the full test set
2e55e288c9a4463a2366415393c16ae43078d2ff,9967c0bc33a9dbfde1d0838de5ef86dc3363c143,record today's analysis code in the ledger
db6c9551f0137e85ab84ace62f4672a3ae9106dc,9c034d91361b504dc259584e4451470639d4c08d,draft the workshop paper
cc2ab6c8182a4b0f0defd0422e5ecb20bd143891,40137a3fed38de6c78fb2407a7e0491d564f4d6d,add the control the probe was missing
d871487cbcd10744f1121b117ec65f6c31a8d15f,c895bba0dc50b06a06b036e63f305de35d1f775a,"build the paper's claim on a difference, not a single number"
b2d949f45c0bf80b2db8fb643c58894639754d60,90e386831279c468da892ee6b89091240265f293,log the public-checkpoint feature run
19b4fbd7011245f6fa0303e256daa5d0085f1cac,c8ae49727f53a072f1f8e657a37b2eb3e3f872ed,read the score layout weaver actually writes
96a0d658fc22b32f26b9cf0f4b19db4c56959ebc,2723f151b5464d19082f311988f4e138912fd4b2,fill in the measured numbers and follow where they led
14fb77ebd0ad9c5808d66c6bd5778345a42c2165,8f460053033826be3f03f97da9241bd17109ff5a,record the probe results and the failed control figure
a6527f4e5753e9243a0944ceed6460bde7699d20,efebffabefaf04a1916655c736f6f0c3f55aa135,correct two references that were placeholders
02f3293a13abeb537b48d8e7d887d6a1f4b87453,04a39f72937f22f01904e87b412d489cfd557f09,state the results at the strength the data supports
87be2c1954a499d3e0d35617519a97af73d42fac,5da40a794b74db947f0a354f47a2360aae25051d,"the two flavour axes are one feature, not two"
c94cca08b607e7c8ba5c8d1d750295f21b9888e6,9405333143c51a0673bc5eb4392c437d8fd9fb15,say what was actually held fixed
290d0c1c4877c376b7acd0b9c71c21cde2f8e2c1,894fa9814fb9271b8dbd8b56fc5a95bfb8a6c0d8,drop the last two overstatements of what was held fixed
6a558e3165bf843fee832e91583714cb8b812eac,aad33b024768c4862cd15339a73b35587b7aac74,the loss argument was weaker than it looked
10e93cced8f3fe2110838a8002c395e4391eda6c,a33bec274ad9c5cd46c14e8fb01c27ec6e8af7ea,cut the paper to four pages
d43fbfa9e610a91172dc1a83d430e05ce9829607,34f7d9b4502c90168b65b0097ae9a481b7c592cc,"fix the novelty claim, the bibliography, and the missing probe"
7a4c886da52584280cac51695ee739d08d602619,3065174f0b865f601334a3cb0c508661d9e8e0d9,make the mass control figure in momentum bins
a011d17251060a8237e67766eea114b90fc9e62a,d22ea7f9055bbafd397a87592b2784a43d21a8ca,log the momentum-binned control run
148aba08abdb9bbf0663cee335d60f2b56551b6f,e6cbaf5d5d9ef99fb90f3188f884e2c8b12ca229,run the mass control one signal at a time
05e732184a8687e676753be5ca4f493b2f569040,4826f055264c6e2387f2039c61a692b762bf1fa4,record what the per-node control run found
92f236a37559130a430983b377bd3eb05be7ad2c,ac8a08ce4a8d82c8ded0b8dd312486aac7743031,probe the frozen representation for mass over momentum
15884819e67c6812113f1d772c8f2e2971cf2760,55cc41732df50a2649071f7da192233ff4c9ffb2,log the mass-over-momentum probe run
a98abc8539d0d114dfc3cb0d5196353ec75b9569,b193bf3661952ced789ff940b80d4fe6b7d2923f,record how much mass the public model's features still carry
ce2ce91c0001e92a407b97cda646a9a621a371ca,19f155084c103ea9cb8e1ed88500c559ea51195f,add the mass regression head and the fine-tuning jobs
0f1c4cb77ff209531b9f0641fe61823c9a45e52b,6b54755056d4eae12cf29ae8b289a4a00f995bca,log the fine-tuning wave's first three jobs
68a7859aa6542731a6a85a79a79274016282536e,d755d069c4e47ed6cffd2bc317cd92b3556583b2,let the smoke run finish when its tiny fine-tune never beats zero accuracy
3924f277983f3e9a7010ec2552327953002f26e6,5da140deef960ef40330589f439ef1399980c1ea,record the subset builds and add the trailer-rewrite script
8a104770e4e8842b088ca69b9538711518556e6a,b9385c85e76164cda50f7b68e27eedecf64ecde4,size the fine-tuning job off the measured memory band and stop it retrying a dead run
1e4543ec4e71b7557138e7db3091eeadf2379ec7,eb27316780e7fc766a1324d30e3d9731cd6252c0,log the reweighting pass and the two queued training jobs
3036837f4f0d13f7d44fbea5a19d98eeb60f9c9f,53a70c1eef335ffd0dbaee7e9f42b59e60437790,log the mass arms and the reweighting result
