jet_label,class_name,L188,L188_name,L162,L162_name,R63_Q1,R63_Q1_name,R42_Q1,R42_Q1_name,R29_Q1,R29_Q1_name,R16_Q1,R16_Q1_name,R3_VIS,R3_VIS_name,R1_Q1,R1_Q1_name
37,label_X_YY_ccmm,37,label_X_YY_ccmm,37,label_X_YY_ccmm,46,4P_SEMILEP_2PARTON_LL|nb0_nc2,28,4P_SEMILEP_2PARTON_LL|C,19,4P_SEMILEP_2PARTON_LL|HF,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
38,label_X_YY_cctauhtaue,38,label_X_YY_cctauhtaue,38,label_X_YY_cctauhtaue,49,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc2,31,4P_SEMILEP_2PARTON_TAUH_TAUL|C,21,4P_SEMILEP_2PARTON_TAUH_TAUL|HF,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
39,label_X_YY_cctauhtaum,39,label_X_YY_cctauhtaum,39,label_X_YY_cctauhtaum,49,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc2,31,4P_SEMILEP_2PARTON_TAUH_TAUL|C,21,4P_SEMILEP_2PARTON_TAUH_TAUL|HF,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
40,label_X_YY_cctauhtauh,40,label_X_YY_cctauhtauh,40,label_X_YY_cctauhtauh,43,4P_HAD_2PARTON_TAUH_TAUH|nb0_nc2,25,4P_HAD_2PARTON_TAUH_TAUH|C,17,4P_HAD_2PARTON_TAUH_TAUH|HF,10,4P_HAD_2PARTON_TAUH_TAUH,2,4P_VIS,0,RESONANT_ALL
41,label_X_YY_ccb,41,label_X_YY_ccb,41,label_X_YY_ccb,12,3P_HAD_3PARTON|nb1_nc2,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
42,label_X_YY_ccc,42,label_X_YY_ccc,42,label_X_YY_ccc,15,3P_HAD_3PARTON|nb0_nc3,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
43,label_X_YY_ccs,43,label_X_YY_ccs,43,label_X_YY_ccs,16,3P_HAD_3PARTON|nb0_nc2,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
44,label_X_YY_ccq,44,label_X_YY_ccq,44,label_X_YY_ccq,16,3P_HAD_3PARTON|nb0_nc2,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
45,label_X_YY_ccg,45,label_X_YY_ccg,45,label_X_YY_ccg,16,3P_HAD_3PARTON|nb0_nc2,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
46,label_X_YY_cce,46,label_X_YY_cce,46,label_X_YY_cce,23,3P_SEMILEP_2PARTON_L|nb0_nc2,13,3P_SEMILEP_2PARTON_L|C,9,3P_SEMILEP_2PARTON_L|HF,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
47,label_X_YY_ccm,47,label_X_YY_ccm,47,label_X_YY_ccm,23,3P_SEMILEP_2PARTON_L|nb0_nc2,13,3P_SEMILEP_2PARTON_L|C,9,3P_SEMILEP_2PARTON_L|HF,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
48,label_X_YY_ssss,48,label_X_YY_ssss,48,label_X_YY_ssss,41,4P_HAD_4PARTON|nb0_nc0,23,4P_HAD_4PARTON|LG,16,4P_HAD_4PARTON|LG,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
49,label_X_YY_ssqq,49,label_X_YY_ssqq,49,label_X_YY_ssqq,41,4P_HAD_4PARTON|nb0_nc0,23,4P_HAD_4PARTON|LG,16,4P_HAD_4PARTON|LG,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
50,label_X_YY_ssgg,50,label_X_YY_ssgg,50,label_X_YY_ssgg,41,4P_HAD_4PARTON|nb0_nc0,23,4P_HAD_4PARTON|LG,16,4P_HAD_4PARTON|LG,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
51,label_X_YY_ssee,51,label_X_YY_ssee,51,label_X_YY_ssee,47,4P_SEMILEP_2PARTON_LL|nb0_nc0,29,4P_SEMILEP_2PARTON_LL|LG,20,4P_SEMILEP_2PARTON_LL|LG,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
52,label_X_YY_ssmm,52,label_X_YY_ssmm,52,label_X_YY_ssmm,47,4P_SEMILEP_2PARTON_LL|nb0_nc0,29,4P_SEMILEP_2PARTON_LL|LG,20,4P_SEMILEP_2PARTON_LL|LG,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
53,label_X_YY_sstauhtaue,53,label_X_YY_sstauhtaue,53,label_X_YY_sstauhtaue,50,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc0,32,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,22,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
54,label_X_YY_sstauhtaum,54,label_X_YY_sstauhtaum,54,label_X_YY_sstauhtaum,50,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc0,32,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,22,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
55,label_X_YY_sstauhtauh,55,label_X_YY_sstauhtauh,55,label_X_YY_sstauhtauh,44,4P_HAD_2PARTON_TAUH_TAUH|nb0_nc0,26,4P_HAD_2PARTON_TAUH_TAUH|LG,18,4P_HAD_2PARTON_TAUH_TAUH|LG,10,4P_HAD_2PARTON_TAUH_TAUH,2,4P_VIS,0,RESONANT_ALL
56,label_X_YY_ssb,56,label_X_YY_ssb,56,label_X_YY_ssb,13,3P_HAD_3PARTON|nb1_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
57,label_X_YY_ssc,57,label_X_YY_ssc,57,label_X_YY_ssc,17,3P_HAD_3PARTON|nb0_nc1,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
58,label_X_YY_sss,58,label_X_YY_sss,58,label_X_YY_sss,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
59,label_X_YY_ssq,59,label_X_YY_ssq,59,label_X_YY_ssq,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
60,label_X_YY_ssg,60,label_X_YY_ssg,60,label_X_YY_ssg,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
61,label_X_YY_sse,61,label_X_YY_sse,61,label_X_YY_sse,24,3P_SEMILEP_2PARTON_L|nb0_nc0,14,3P_SEMILEP_2PARTON_L|LG,10,3P_SEMILEP_2PARTON_L|LG,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
62,label_X_YY_ssm,62,label_X_YY_ssm,62,label_X_YY_ssm,24,3P_SEMILEP_2PARTON_L|nb0_nc0,14,3P_SEMILEP_2PARTON_L|LG,10,3P_SEMILEP_2PARTON_L|LG,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
63,label_X_YY_qqqq,63,label_X_YY_qqqq,63,label_X_YY_qqqq,41,4P_HAD_4PARTON|nb0_nc0,23,4P_HAD_4PARTON|LG,16,4P_HAD_4PARTON|LG,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
64,label_X_YY_qqgg,64,label_X_YY_qqgg,64,label_X_YY_qqgg,41,4P_HAD_4PARTON|nb0_nc0,23,4P_HAD_4PARTON|LG,16,4P_HAD_4PARTON|LG,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
65,label_X_YY_qqee,65,label_X_YY_qqee,65,label_X_YY_qqee,47,4P_SEMILEP_2PARTON_LL|nb0_nc0,29,4P_SEMILEP_2PARTON_LL|LG,20,4P_SEMILEP_2PARTON_LL|LG,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
66,label_X_YY_qqmm,66,label_X_YY_qqmm,66,label_X_YY_qqmm,47,4P_SEMILEP_2PARTON_LL|nb0_nc0,29,4P_SEMILEP_2PARTON_LL|LG,20,4P_SEMILEP_2PARTON_LL|LG,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
67,label_X_YY_qqtauhtaue,67,label_X_YY_qqtauhtaue,67,label_X_YY_qqtauhtaue,50,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc0,32,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,22,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
68,label_X_YY_qqtauhtaum,68,label_X_YY_qqtauhtaum,68,label_X_YY_qqtauhtaum,50,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc0,32,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,22,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
69,label_X_YY_qqtauhtauh,69,label_X_YY_qqtauhtauh,69,label_X_YY_qqtauhtauh,44,4P_HAD_2PARTON_TAUH_TAUH|nb0_nc0,26,4P_HAD_2PARTON_TAUH_TAUH|LG,18,4P_HAD_2PARTON_TAUH_TAUH|LG,10,4P_HAD_2PARTON_TAUH_TAUH,2,4P_VIS,0,RESONANT_ALL
70,label_X_YY_qqb,70,label_X_YY_qqb,70,label_X_YY_qqb,13,3P_HAD_3PARTON|nb1_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
71,label_X_YY_qqc,71,label_X_YY_qqc,71,label_X_YY_qqc,17,3P_HAD_3PARTON|nb0_nc1,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
72,label_X_YY_qqs,72,label_X_YY_qqs,72,label_X_YY_qqs,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
73,label_X_YY_qqq,73,label_X_YY_qqq,73,label_X_YY_qqq,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
74,label_X_YY_qqg,74,label_X_YY_qqg,74,label_X_YY_qqg,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
75,label_X_YY_qqe,75,label_X_YY_qqe,75,label_X_YY_qqe,24,3P_SEMILEP_2PARTON_L|nb0_nc0,14,3P_SEMILEP_2PARTON_L|LG,10,3P_SEMILEP_2PARTON_L|LG,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
76,label_X_YY_qqm,76,label_X_YY_qqm,76,label_X_YY_qqm,24,3P_SEMILEP_2PARTON_L|nb0_nc0,14,3P_SEMILEP_2PARTON_L|LG,10,3P_SEMILEP_2PARTON_L|LG,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
77,label_X_YY_gggg,77,label_X_YY_gggg,77,label_X_YY_gggg,41,4P_HAD_4PARTON|nb0_nc0,23,4P_HAD_4PARTON|LG,16,4P_HAD_4PARTON|LG,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
78,label_X_YY_ggee,78,label_X_YY_ggee,78,label_X_YY_ggee,47,4P_SEMILEP_2PARTON_LL|nb0_nc0,29,4P_SEMILEP_2PARTON_LL|LG,20,4P_SEMILEP_2PARTON_LL|LG,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
79,label_X_YY_ggmm,79,label_X_YY_ggmm,79,label_X_YY_ggmm,47,4P_SEMILEP_2PARTON_LL|nb0_nc0,29,4P_SEMILEP_2PARTON_LL|LG,20,4P_SEMILEP_2PARTON_LL|LG,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
80,label_X_YY_ggtauhtaue,80,label_X_YY_ggtauhtaue,80,label_X_YY_ggtauhtaue,50,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc0,32,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,22,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
81,label_X_YY_ggtauhtaum,81,label_X_YY_ggtauhtaum,81,label_X_YY_ggtauhtaum,50,4P_SEMILEP_2PARTON_TAUH_TAUL|nb0_nc0,32,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,22,4P_SEMILEP_2PARTON_TAUH_TAUL|LG,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
82,label_X_YY_ggtauhtauh,82,label_X_YY_ggtauhtauh,82,label_X_YY_ggtauhtauh,44,4P_HAD_2PARTON_TAUH_TAUH|nb0_nc0,26,4P_HAD_2PARTON_TAUH_TAUH|LG,18,4P_HAD_2PARTON_TAUH_TAUH|LG,10,4P_HAD_2PARTON_TAUH_TAUH,2,4P_VIS,0,RESONANT_ALL
83,label_X_YY_ggb,83,label_X_YY_ggb,83,label_X_YY_ggb,13,3P_HAD_3PARTON|nb1_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
84,label_X_YY_ggc,84,label_X_YY_ggc,84,label_X_YY_ggc,17,3P_HAD_3PARTON|nb0_nc1,7,3P_HAD_3PARTON|C,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
85,label_X_YY_ggs,85,label_X_YY_ggs,85,label_X_YY_ggs,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
86,label_X_YY_ggq,86,label_X_YY_ggq,86,label_X_YY_ggq,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
87,label_X_YY_ggg,87,label_X_YY_ggg,87,label_X_YY_ggg,18,3P_HAD_3PARTON|nb0_nc0,8,3P_HAD_3PARTON|LG,6,3P_HAD_3PARTON|LG,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
88,label_X_YY_gge,88,label_X_YY_gge,88,label_X_YY_gge,24,3P_SEMILEP_2PARTON_L|nb0_nc0,14,3P_SEMILEP_2PARTON_L|LG,10,3P_SEMILEP_2PARTON_L|LG,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
89,label_X_YY_ggm,89,label_X_YY_ggm,89,label_X_YY_ggm,24,3P_SEMILEP_2PARTON_L|nb0_nc0,14,3P_SEMILEP_2PARTON_L|LG,10,3P_SEMILEP_2PARTON_L|LG,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
90,label_X_YY_bee,90,label_X_YY_bee,90,label_X_YY_bee,25,3P_SEMILEP_1PARTON_LL|nb1_nc0,15,3P_SEMILEP_1PARTON_LL|B,11,3P_SEMILEP_1PARTON_LL|HF,7,3P_SEMILEP_1PARTON_LL,1,3P_VIS,0,RESONANT_ALL
91,label_X_YY_cee,91,label_X_YY_cee,91,label_X_YY_cee,26,3P_SEMILEP_1PARTON_LL|nb0_nc1,16,3P_SEMILEP_1PARTON_LL|C,11,3P_SEMILEP_1PARTON_LL|HF,7,3P_SEMILEP_1PARTON_LL,1,3P_VIS,0,RESONANT_ALL
92,label_X_YY_see,92,label_X_YY_see,92,label_X_YY_see,27,3P_SEMILEP_1PARTON_LL|nb0_nc0,17,3P_SEMILEP_1PARTON_LL|LG,12,3P_SEMILEP_1PARTON_LL|LG,7,3P_SEMILEP_1PARTON_LL,1,3P_VIS,0,RESONANT_ALL
