jet_label,class_name,R16_Q1,RAND_d1,RAND_d1_name,RAND_d2,RAND_d2_name,RAND_d3,RAND_d3_name
121,label_X_YY_ccsq,9,4,RAND1_res34p_04,9,RAND2_res34p_09,14,RAND3_res34p_14
122,label_X_YY_sscq,9,15,RAND1_res34p_15,11,RAND2_res34p_11,9,RAND3_res34p_09
123,label_X_YY_qqbc,9,9,RAND1_res34p_09,4,RAND2_res34p_04,15,RAND3_res34p_15
124,label_X_YY_qqbs,9,9,RAND1_res34p_09,11,RAND2_res34p_11,5,RAND3_res34p_05
125,label_X_YY_qqcs,9,15,RAND1_res34p_15,14,RAND2_res34p_14,6,RAND3_res34p_06
126,label_X_YY_bcsq,9,11,RAND1_res34p_11,14,RAND2_res34p_14,9,RAND3_res34p_09
127,label_X_YY_bcs,4,11,RAND1_res34p_11,6,RAND2_res34p_06,11,RAND3_res34p_11
128,label_X_YY_bcq,4,8,RAND1_res34p_08,12,RAND2_res34p_12,4,RAND3_res34p_04
129,label_X_YY_bsq,4,5,RAND1_res34p_05,6,RAND2_res34p_06,10,RAND3_res34p_10
130,label_X_YY_csq,4,4,RAND1_res34p_04,4,RAND2_res34p_04,4,RAND3_res34p_04
131,label_X_YY_bcev,13,9,RAND1_res34p_09,4,RAND2_res34p_04,15,RAND3_res34p_15
132,label_X_YY_csev,13,4,RAND1_res34p_04,5,RAND2_res34p_05,6,RAND3_res34p_06
133,label_X_YY_bqev,13,4,RAND1_res34p_04,4,RAND2_res34p_04,4,RAND3_res34p_04
134,label_X_YY_cqev,13,14,RAND1_res34p_14,11,RAND2_res34p_11,11,RAND3_res34p_11
135,label_X_YY_sqev,13,6,RAND1_res34p_06,9,RAND2_res34p_09,7,RAND3_res34p_07
136,label_X_YY_qqev,13,9,RAND1_res34p_09,4,RAND2_res34p_04,7,RAND3_res34p_07
137,label_X_YY_bcmv,13,15,RAND1_res34p_15,4,RAND2_res34p_04,11,RAND3_res34p_11
138,label_X_YY_csmv,13,12,RAND1_res34p_12,14,RAND2_res34p_14,12,RAND3_res34p_12
139,label_X_YY_bqmv,13,4,RAND1_res34p_04,14,RAND2_res34p_14,7,RAND3_res34p_07
140,label_X_YY_cqmv,13,11,RAND1_res34p_11,15,RAND2_res34p_15,9,RAND3_res34p_09
141,label_X_YY_sqmv,13,4,RAND1_res34p_04,4,RAND2_res34p_04,14,RAND3_res34p_14
142,label_X_YY_qqmv,13,7,RAND1_res34p_07,11,RAND2_res34p_11,15,RAND3_res34p_15
143,label_X_YY_bctauev,14,9,RAND1_res34p_09,4,RAND2_res34p_04,11,RAND3_res34p_11
144,label_X_YY_cstauev,14,12,RAND1_res34p_12,12,RAND2_res34p_12,10,RAND3_res34p_10
145,label_X_YY_bqtauev,14,4,RAND1_res34p_04,4,RAND2_res34p_04,11,RAND3_res34p_11
146,label_X_YY_cqtauev,14,15,RAND1_res34p_15,8,RAND2_res34p_08,9,RAND3_res34p_09
147,label_X_YY_sqtauev,14,7,RAND1_res34p_07,13,RAND2_res34p_13,9,RAND3_res34p_09
148,label_X_YY_qqtauev,14,9,RAND1_res34p_09,9,RAND2_res34p_09,4,RAND3_res34p_04
149,label_X_YY_bctaumv,14,13,RAND1_res34p_13,9,RAND2_res34p_09,9,RAND3_res34p_09
150,label_X_YY_cstaumv,14,4,RAND1_res34p_04,4,RAND2_res34p_04,4,RAND3_res34p_04
151,label_X_YY_bqtaumv,14,12,RAND1_res34p_12,5,RAND2_res34p_05,10,RAND3_res34p_10
152,label_X_YY_cqtaumv,14,9,RAND1_res34p_09,9,RAND2_res34p_09,13,RAND3_res34p_13
153,label_X_YY_sqtaumv,14,9,RAND1_res34p_09,10,RAND2_res34p_10,11,RAND3_res34p_11
154,label_X_YY_qqtaumv,14,11,RAND1_res34p_11,13,RAND2_res34p_13,14,RAND3_res34p_14
155,label_X_YY_bctauhv,15,4,RAND1_res34p_04,11,RAND2_res34p_11,14,RAND3_res34p_14
156,label_X_YY_cstauhv,15,13,RAND1_res34p_13,9,RAND2_res34p_09,7,RAND3_res34p_07
157,label_X_YY_bqtauhv,15,14,RAND1_res34p_14,6,RAND2_res34p_06,11,RAND3_res34p_11
158,label_X_YY_cqtauhv,15,14,RAND1_res34p_14,13,RAND2_res34p_13,14,RAND3_res34p_14
159,label_X_YY_sqtauhv,15,13,RAND1_res34p_13,12,RAND2_res34p_12,4,RAND3_res34p_04
160,label_X_YY_qqtauhv,15,12,RAND1_res34p_12,8,RAND2_res34p_08,4,RAND3_res34p_04
161,label_QCD_bbccss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
162,label_QCD_bbccs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
163,label_QCD_bbcc,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
164,label_QCD_bbcss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
165,label_QCD_bbcs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
166,label_QCD_bbc,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
167,label_QCD_bbss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
168,label_QCD_bbs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
169,label_QCD_bb,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
170,label_QCD_bccss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
171,label_QCD_bccs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
172,label_QCD_bcc,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
173,label_QCD_bcss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
174,label_QCD_bcs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
175,label_QCD_bc,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
176,label_QCD_bss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
177,label_QCD_bs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
178,label_QCD_b,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
179,label_QCD_ccss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
180,label_QCD_ccs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
181,label_QCD_cc,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
182,label_QCD_css,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
183,label_QCD_cs,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
184,label_QCD_c,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
185,label_QCD_ss,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
186,label_QCD_s,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
187,label_QCD_light,16,16,RAND1_qcd_16,16,RAND2_qcd_16,16,RAND3_qcd_16
