assertion,category,chain_edge,expectation,result,verdict,detail
reweight_expr_safe[label_QCD],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_classes_count_30,structure,,MUST_HOLD,PASS,OK,reweight_classes lists 30 names
class_weights_count_30,structure,,MUST_HOLD,PASS,OK,class_weights lists 30 values
reweight_classes_match_new_variables,structure,,MUST_HOLD,PASS,OK,reweight_classes order == new_variables definition order
class_weights_sum_1.73175,structure,,MUST_HOLD,PASS,OK,sum(class_weights) = 1.73175 (expected 1.73175)
reweight_pt_bins_14,structure,,MUST_HOLD,PASS,OK,jet_pt: 15 edges -> 14 bins over 200-2500
reweight_sdmass_bins_48,structure,,MUST_HOLD,PASS,OK,jet_sdmass: 49 edges -> 48 bins over 20-500
selection_line,provenance,,MUST_HOLD,PASS,OK,selection = (jet_pt > 200) & (jet_pt < 2500) & (jet_sdmass > 20) & (jet_sdmass < 500)
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 0 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 1 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 2 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 3 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 4 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 5 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 6 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 7 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 8 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 9 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 10 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 11 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 12 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 13 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 14 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 15 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 16 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 17 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 18 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 32 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 33 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 34 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 48 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 49 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 63 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 115 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 116 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 117 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 118 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 119 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 120 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 121 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 122 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 123 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 124 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 125 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 126 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 19 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 35 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 50 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 64 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 77 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 25 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 26 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 27 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 28 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 41 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 42 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 43 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 44 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 56 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 57 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 58 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 59 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 70 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 71 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 72 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 73 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 127 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 128 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 129 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 130 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 29 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 45 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 60 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 74 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 83 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 84 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 85 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 86 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 87 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 20 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 21 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 36 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 37 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 51 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 52 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 65 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 66 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 30 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 31 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 46 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 47 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 61 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 62 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 75 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 76 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 90 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 91 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 92 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 93 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 95 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 96 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 97 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 98 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 22 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 23 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 38 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 39 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 53 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 54 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 67 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 68 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 24 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 40 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 55 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 69 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 100 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 101 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 102 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 103 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 105 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 106 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 107 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 108 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 110 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 111 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 112 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 113 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 78 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 79 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 88 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 89 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 94 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 99 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 80 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 81 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 82 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 104 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 109 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 114 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 131 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 132 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 133 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 134 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 135 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 136 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 137 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 138 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 139 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 140 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 141 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 142 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 143 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 144 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 145 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 146 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 147 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 148 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 149 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 150 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 151 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 152 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 153 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 154 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 155 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 156 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 157 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 158 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 159 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 160 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 161 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 162 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 163 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 164 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 165 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 166 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 167 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 168 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 169 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 170 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 171 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 172 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 173 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 174 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 175 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 176 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 177 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 178 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 179 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 180 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 181 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 182 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 183 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 184 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 185 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 186 in two reweighting groups
reweight_groups_disjoint,structure,,MUST_HOLD,PASS,OK,class 187 in two reweighting groups
reweight_groups_cover_188,structure,,MUST_HOLD,PASS,OK,the 30 reweighting groups partition all 188 classes
reweight_29_cover_resonant,structure,,MUST_HOLD,PASS,OK,the 29 label_X_* reweighting groups cover exactly indices 0-160
reweight_qcd_cover,structure,,MUST_HOLD,PASS,OK,label_QCD covers exactly indices 161-187
block_2p_names,structure,,MUST_HOLD,PASS,OK,indices 0-14 are all two-prong label_X_* classes
block_34p_names,structure,,MUST_HOLD,PASS,OK,indices 15-160 are all 3/4-prong label_X_YY_* classes
block_qcd_names,structure,,MUST_HOLD,PASS,OK,indices 161-187 are all label_QCD_* classes
qcd_stream_share,statistics,,MUST_HOLD,PASS,OK,QCD = 0.25/1.73175 = 14.4363% of the sampled training stream
qcd_node_share,statistics,,MUST_HOLD,PASS,OK,QCD = 27/188 = 14.3617% of vocabulary nodes
qcd_stream_exceeds_node_share,statistics,,MUST_HOLD,PASS,OK,stream 14.4363% > nodes 14.3617% (difference 0.0746 pp)
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 0 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 1 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 2 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 3 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 4 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 5 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 6 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 7 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 8 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 9 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 10 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 11 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 12 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 13 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 14 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 15 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 16 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 17 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 18 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 19 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 20 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 21 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 22 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 23 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 24 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 25 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 26 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 27 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 28 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 29 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 30 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 31 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 32 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 33 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 34 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 35 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 36 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 37 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 38 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 39 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 40 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 41 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 42 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 43 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 44 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 45 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 46 assigned twice in R161
R161_no_double_assignment,structure,,MUST_HOLD,PASS,OK,class 47 assigned twice in R161
