status,jet_label,class_name,block,topology_code,tokens,reweight_group_name,R161_group_id,R161_group_name,R161_group_n_classes,R161_isolated,R45_group_id,R45_group_name,R45_group_n_classes,R45_isolated,R29_group_id,R29_group_name,R29_group_n_classes,R29_isolated,R15_group_id,R15_group_name,R15_group_n_classes,R15_isolated,R9_group_id,R9_group_name,R9_group_n_classes,R9_isolated,Q27_group_id,Q27_group_name,Q27_group_n_classes,Q27_isolated,Q1_group_id,Q1_group_name,Q1_group_n_classes,Q1_isolated,first_rung_where_bs_merges_away,note
present,164,label_QCD_bbcss,qcd,QCD,b+b+c+s+s,label_QCD,,,,,,,,,,,,,,,,,,,,,3,label_QCD_bbcss,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,165,label_QCD_bbcs,qcd,QCD,b+b+c+s,label_QCD,,,,,,,,,,,,,,,,,,,,,4,label_QCD_bbcs,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,167,label_QCD_bbss,qcd,QCD,b+b+s+s,label_QCD,,,,,,,,,,,,,,,,,,,,,6,label_QCD_bbss,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,168,label_QCD_bbs,qcd,QCD,b+b+s,label_QCD,,,,,,,,,,,,,,,,,,,,,7,label_QCD_bbs,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,170,label_QCD_bccss,qcd,QCD,b+c+c+s+s,label_QCD,,,,,,,,,,,,,,,,,,,,,9,label_QCD_bccss,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,171,label_QCD_bccs,qcd,QCD,b+c+c+s,label_QCD,,,,,,,,,,,,,,,,,,,,,10,label_QCD_bccs,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,173,label_QCD_bcss,qcd,QCD,b+c+s+s,label_QCD,,,,,,,,,,,,,,,,,,,,,12,label_QCD_bcss,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,174,label_QCD_bcs,qcd,QCD,b+c+s,label_QCD,,,,,,,,,,,,,,,,,,,,,13,label_QCD_bcs,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,176,label_QCD_bss,qcd,QCD,b+s+s,label_QCD,,,,,,,,,,,,,,,,,,,,,15,label_QCD_bss,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,177,label_QCD_bs,qcd,QCD,b+s,label_QCD,,,,,,,,,,,,,,,,,,,,,16,label_QCD_bs,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
absent_from_vocabulary,,label_X_bs,res2p,QQ,b+s,(would be label_X_QQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The two-prong b+s combination has NO class in JetClass-II: the two-prong QQ' list is bb, cc, ss, qq, bc, cs, bq, cq, sq -- bs is the one missing pair. MECHANISM: the neutral parent decays flavour-diagonally and the charged parent up-type-to-down-type, so b and s can only co-occur via two different parent decays, which requires at least three prongs. (Do NOT attribute this to an FCNC the generation lacks -- that wording is not in Sophon App. A, whose case (1) uses heft.) b+s content is accordingly present in the 3-prong (bbs, bsq), 4-prong (bbss, ccbs, qqbs) and QCD (bbss, bbs, bss, bs) blocks, so b+s is NOT unseen at any rung."
