group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
18,34P_ggg,1,87,label_X_YY_ggg,"(i) quark flavour, complete",0.0008661758336942399,0.0008661758336942399,0.0008661758336942399,label_X_YY_ggg,1,0,"Sophon reweighting group label_X_YY_ggg (YAML line 40): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
19,34P_ggl,2,88-89,label_X_YY_gge label_X_YY_ggm,"(i) quark flavour, complete",0.0014436263894903997,0.0014436263894903997,0.0014436263894903997,label_X_YY_ggl,1,0,"Sophon reweighting group label_X_YY_ggl (YAML line 50): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
20,34P_Qll,8,"90-93,95-98",label_X_YY_bee label_X_YY_cee label_X_YY_see label_X_YY_qee label_X_YY_bmm label_X_YY_cmm label_X_YY_smm label_X_YY_qmm,"(i) quark flavour, complete",0.006929406669553919,0.006929406669553919,0.006929406669553919,label_X_YY_Qll,1,0,"Sophon reweighting group label_X_YY_Qll (YAML line 44): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
21,34P_gll,2,"94,99",label_X_YY_gee label_X_YY_gmm,"(i) quark flavour, complete",0.0017323516673884798,0.0017323516673884798,0.0017323516673884798,label_X_YY_gll,1,0,"Sophon reweighting group label_X_YY_gll (YAML line 51): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
22,34P_Qtauhtaul,8,"100-103,105-108",label_X_YY_btauhtaue label_X_YY_ctauhtaue label_X_YY_stauhtaue label_X_YY_qtauhtaue label_X_YY_btauhtaum label_X_YY_ctauhtaum label_X_YY_stauhtaum label_X_YY_qtauhtaum,"(i) quark flavour, complete",0.0010394110004330879,0.0010394110004330879,0.0010394110004330879,label_X_YY_Qtauhtaul,1,0,"Sophon reweighting group label_X_YY_Qtauhtaul (YAML line 47): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
23,34P_gtauhtaul,2,"104,109",label_X_YY_gtauhtaue label_X_YY_gtauhtaum,"(i) quark flavour, complete",0.00025985275010827197,0.00025985275010827197,0.00025985275010827197,label_X_YY_gtauhtaul,1,0,"Sophon reweighting group label_X_YY_gtauhtaul (YAML line 54): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
24,34P_Qtauhtauh,4,110-113,label_X_YY_btauhtauh label_X_YY_ctauhtauh label_X_YY_stauhtauh label_X_YY_qtauhtauh,"(i) quark flavour, complete",0.0013858813339107836,0.0013858813339107836,0.0013858813339107836,label_X_YY_Qtauhtauh,1,0,"Sophon reweighting group label_X_YY_Qtauhtauh (YAML line 48): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
25,34P_gtauhtauh,1,114,label_X_YY_gtauhtauh,"(i) quark flavour, complete",0.0003464703334776959,0.0003464703334776959,0.0003464703334776959,label_X_YY_gtauhtauh,1,0,"Sophon reweighting group label_X_YY_gtauhtauh (YAML line 55): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
26,34P_QQlv,12,131-142,label_X_YY_bcev label_X_YY_csev label_X_YY_bqev label_X_YY_cqev label_X_YY_sqev label_X_YY_qqev label_X_YY_bcmv label_X_YY_csmv label_X_YY_bqmv label_X_YY_cqmv label_X_YY_sqmv label_X_YY_qqmv,"(i) quark flavour, complete",0.04619604446369279,0.04619604446369279,0.04619604446369279,label_X_YY_QQlv,1,0,"Sophon reweighting group label_X_YY_QQlv (YAML line 57): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
27,34P_QQtaulv,12,143-154,label_X_YY_bctauev label_X_YY_cstauev label_X_YY_bqtauev label_X_YY_cqtauev label_X_YY_sqtauev label_X_YY_qqtauev label_X_YY_bctaumv label_X_YY_cstaumv label_X_YY_bqtaumv label_X_YY_cqtaumv label_X_YY_sqtaumv label_X_YY_qqtaumv,"(i) quark flavour, complete",0.008661758336942398,0.008661758336942398,0.008661758336942398,label_X_YY_QQtaulv,1,0,"Sophon reweighting group label_X_YY_QQtaulv (YAML line 58): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
28,34P_QQtauhv,6,155-160,label_X_YY_bctauhv label_X_YY_cstauhv label_X_YY_bqtauhv label_X_YY_cqtauhv label_X_YY_sqtauhv label_X_YY_qqtauhv,"(i) quark flavour, complete",0.028872527789808,0.028872527789808,0.028872527789808,label_X_YY_QQtauhv,1,0,"Sophon reweighting group label_X_YY_QQtauhv (YAML line 59): all quark-flavour distinctions within fixed prong count and topology are contracted (contraction step i, complete). This is the unique rung at which the flat (pT, mSD) sampling weights are class-wise flat."
